mls_number	Originating_MLS	status	address	bedrooms	bathrooms	list_price	sold_price	pending_date	settled_date	county	township	subdivision	school_district	age	sqft	total_rooms	fireplace_yn	basement_yn	garage_yn	est_taxes	acres	tax_year	assessment	condo_hoa_yn	assoc_fee_freq	zip_code	unit_number	dom	remarks	picture_url	design	style	exterior	heat_cool_util	garage_parking	basement_type	attic	interior_features	exterior_features	unit_floor_number	living_room_dim	dining_room_dim	kitchen_dim	family_room_dim	main_bedroom_dim	second_bedroom_dim	third_bedroom_dim	fourth_bedroom_dim	sold_concess	soldterms	newconst_yn	sellerconcessions	cnty	dtmodified	pid	pmp	certifications	additionalbankowned	additionalthirdpartyapproval	additionalshortsale	sellerconcessionsamount	finalshortsale	finalthirdpartyapproval	finalbankowned	distance	AbovrGrIntSqFt	BelowGrIntSqFt	HomeBuilt	BasemtFtPrintPercent	BasemtFinPrintPercent	Laundry_room
6476628	TREND	STL	15 Buford Rd, Robbinsville, NJ	4	2.2	$599,900	$605,000	11/21/2014	01/30/2015	Mercer County	Robbinsville Twp	Washington Greene	Robbinsville Twp	18	3,100		Y	Y	Y	$15,391	0.59	2014	536100	Y	A	08691-2327		30	In a community vibrant with warmth and friendliness this Washington Greene home is styled for the times! Masterful design and construction by Toll Brothers! The beautifully landscaped property includes exterior lighting, sprinkler system and is backed to preserved woods.  Suburban living yet minutes to downtown Robbinsville!  Two story entry with hardwood in living room, dining room, kitchen and library. The library offers quiet seclusion for scholars in your family. Spacious living room with a woodburning fireplace provides a radiant glow on cold, winter nights... Formal dining room to enjoy sophisticated entertaining.  The well planned extended kitchen with newer stainless steel appliances (2013 & 2014)is so complete, center island, granite countertops, white cabinetry and a large expansive breakfast room for daily eating with family!  9ft ceilings on the first floor.  23 ft. family room offers a towering stone fireplace, newer sisal carpeting, and a back staircase to the upstairs bedrooms.  A master bedroom built on a masterly scale with separate sitting area.   Spacious walk- in closet, luxurious master bath with whirlpool tub and separate shower.  3 additional very large bedrooms catch the atmosphere of restfulness!  Newly finished basement offers tons of fun for all!  Very well planned with a half bath, bar w/wet bar, storage room and a separate study.  The exterior back of the home has a huge deck and sitting area and so very private!  One of the best locations in Washington Greene!  Expanded Cornell Model - 3 ft larger! Note: School bus stops right in front of the house - little people will get spoiled!! Walk to Robbinsville Community Park! Easy access to NJTPK and NJ Transit (Hamilton Station).	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6476628	2-Story	Colonial, Contemporary	SyntheticStucco	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer, 100-150AmpEl	2-CarGarage, Att/BuiltInG, InsideAccess, 3+CarParking	FullBasement	AccessPanel	SecuritySys, Skylight(s), Cathedral/Va, 9Ft+Ceiling, Attic/HseFan, WhirlPool/Ho, SprinklerSys, Wet/DryBar	Sidewalks, StreetLights, LawnSprinklr, SatelliteDsh, PlayEquipmnt, UndrgrndElec, ExteriorLght		17 x 14	15 x 13	21 x 18	20 x 18	22 x 18	14 x 13	14 x 12	14 x 14	N	Conv	N		211	02/14/2015	601116987	30				False		False	False	False				N				
6477697	TREND	STL	12 Brookshire Dr, Robbinsville, NJ	4	3.1	$649,900	$639,000	12/02/2014	01/28/2015	Mercer County	Robbinsville Twp	Brookshire Estates	Robbinsville Twp	14	2,957		Y	Y	Y	$18,308	0.69	2014	637700	Y	A	08691-2555		40	Pristine, elegant, stately prepared to be impressed meticulously maintained by original owners, this turn-key center hall colonial in the sought after neighborhood of Brookshire Estates!  Main living area opens to an elegant dining room with hardwood flooring for those entertaining guests.  Adjacent to the living room, French doors open to the spacious library.  Family room with a cozy fireplace opens to the gleaming kitchen with granite countertops and cherry cabinets, stainless steel appliances, and large island.  Backstairs lead to second floor, great for those late night snacks.  Large laundry room with custom cabinets for added storage.  Open staircase takes you up to 4 nice size bedrooms.  All closets have custom cabinets.  Hallway looks over to the 2-story family room.  An unbelieveable master suite has 2 walk-in closets, a bath with sunken tub, and a 13x12 sitting room.  Gorgeous crown molding throughout.  Beautiful spacious basement with a custom wet bar, full bath, mud room to Bilco doors giving you yard access.  Large storage room (35x19.)  Pavers out back with sitting wall.  Enjoy the serene fenced yard which backs to woods.  All this within minutes to Robbinsville's top rated schools.  Close to all major roads: Rt 130, 195, Turnpike and easy NY commute.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6477697	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer, CircBreakers	2-CarGarage, Att/BuiltInG, 3+CarParking	FullBasement	AccessPanel, NonUseAttic	SecuritySys, Cathedral/Va, 9Ft+Ceiling, CeilngFan(s), CableTVWired, SprinklerSys, Wet/DryBar, StallShower, EnrgyEfficntWdws	Sidewalks, StreetLights, LawnSprinklr, ExteriorLght		16 x 14	13 x 12	23 x 13	23 x 14	15 x 20	13 x 12	12 x 11	12 x 11	N	Conv	N		211	02/12/2015	601118096	40				False		False	False	False				N			14 x 5	
6479148	TREND	STL	114 Everett St, Robbinsville, NJ	5	3.0	$539,900	$527,500	04/10/2015	05/20/2015	Mercer County	Robbinsville Twp	Town Center	Robbinsville Twp	12	2,972	10	Y	Y	Y	$15,610	0.10	2014	543700	Y		08691-4124		163	This charming colonial-style home with large, covered front porch boasts one of the best locations in the community.  It fronts to a quiet, no-thru, side street and backs to an unencumbered view of the peaceful, picturesque lake.  The inviting floor plan includes an abundance of delightful living and entertaining spaces.  Gleaming, oak, hardwood flooring runs through the formal living room, dining room, hallway, staircase, family room, kitchen, breakfast area and main floor bedroom. All of these rooms are also accentuated with detailed crown molding.  The light and bright kitchen offers an abundance of 42" maple cabinets, Corian countertops, tumbled tile backsplash, wainscoting, a pantry and is open to the inviting family room complete with a wood-burning fireplace with decorative oak mantle and a wall of windows that overlooks the slate and brick patio, as well as providing an awesome view of the lake. The full bath is conveniently located next to the main floor bedroom offering great accessibility for multi-generational needs or home office purposes.  The main floor laundry room has immediate access to the kitchen as well as access to the much desired attached two car garage.  The second level also offers crown molding in all rooms, and consists of a cozy loft area overlooking the welcoming entryway, three nicely sized secondary bedrooms with abundant closet space and ceiling fans, a spacious master en-suite with ceiling fan, his and hers closet spaces, a jetted tub, and stall shower. The entire home is outfitted with Andersen windows, extra R-value insulation, 2 zone heat and A/C, and an alarm system.  There is a full basement, with nice high ceilings, that could easily be finished and is currently a fabulously large area for all of your storage needs. Outside you'll find a fully fenced yard with new front fencing and gate, professional landscaping,a slate and brick patio surrounded by lovely plantings, views of the scenic lake, and access to the meandering maze of the walking paths along which you will find beautiful scenery, lush green areas, community gazebo, dog parks, tot lots, etc. The overall location of the community offers easy access to major roadways, distinguished universities, airports & train station. It also rests within walking distance to quaint shops, restaurants and parks. The schools are top-rated and there are no HOA fees associated with this community. This is the lifestyle you've been dreaming of!	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6479148	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, ZonedHeat, EnrgyEfficientHt, ProgThermostat, CentralAir, GasHotWater, PublicWater, PublicSewer, CircBreakers	2-CarGarage, Att/BuiltInG, InsideAccess, GarDoorOpner, Oversizedgar, 2-CarParking, DrivewayPrk, Private	FullBasement	AccessPanel	SecuritySys, CeilngFan(s), Attic/HseFan, CableTVWired, StallShower, EnrgyEfficntWdws	Sidewalks, StreetLights, Fencing, UndrgrndElec, ExteriorLght		15 x 12	13 x 13	13 x 11	17 x 15	18 x 17	15 x 13	15 x 12	13 x 10	N	Conv	N		211	06/04/2015	601119595	163				False		False	False	False				N			11 x 5	
6481484	TREND	STL	81 Beacon Pl, Robbinsville, NJ	3	2.1	$245,000	$238,000	01/30/2015	03/30/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	23	1,616	5	N	N	N	$6,821	0.04	2014	237600	Y	M	08691-3030		91	Welcome home to your lovely 3 Bedroom, 2-1/2 Baths Hampton model townhouse situated in Foxmoor's Candlewood section.  Offering a spacious eat-in kitchen with ceramic tile flooring. Dining/Living Room with hardwood laminate flooring. Master Bedroom has a walk-in closet plus a 4-piece en suite Bathroom.  Quaint fenced in Backyard. Spend your summer enjoying the community pool, tennis courts, playground and club house. Conveniently located near shopping, public transportation and all major highways.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6481484	2-Story	Colonial	VinylExt	GasHeat, HotWaterHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, 1-CarParking, ParkingLot	NoBasement		CableTVWired	Sidewalks, StreetLights, TennisCrt(s)		0 x 0	0 x 0	0 x 0	0 x 0	0 x 0	0 x 0	0 x 0		N	Conv	N		211	04/14/2015	601122007	91				False		False	False	False				N				
6482977	TREND	STL	127 Cromwell Dr, Robbinsville, NJ	3	2.1	$305,000	$295,000	12/04/2014	01/30/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	18	1,594		Y	Y	N	$8,053	0.04	2014	280500	Y	M	08691-3073		28	Great 3 bedroom home with wonderful, light filled East/West exposure in highly desirable Foxmoor! This "open concept" floorplan has a large kitchen with generous center island, opening into the family room and stepping out to the private backyard with stamped concrete patio.  An easy walk to the pool, playground and tennis courts, this home offers carefree living at its best.  The large finished basement adds such incredible living space to this house!  While many basements have a musty smell, this one is serviced by a costly Humidex 24/7 dehumidifier that is installed and comes with the house.  The second floor offers three bedrooms and two full baths.  The master bedroom offers cathedral ceilings, paddle fan and a walk-in closet.  The en suite master bath was designed for ease of use with two sinks, stall shower and separate, large soaking tub for relaxation.  A brand new, high efficiency air conditioner was just installed two years ago so you don't have to worry about replacing that!!  Foxmoor is in walking and biking distance of Town Center with its shops, restaurants and gathering places.  Come, enjoy, stay awhile!	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6482977	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, Asgn/DeedPrk	FullBasement		Cathedral/Va, CeilngFan(s)	Sidewalks, StreetLights		12 x 13		11 x 10	15 x 12	15 x 12	11 x 11	11 x 9		N	Conv	N		211	02/14/2015	601123526	28				False		False	False	False				N				
6485940	TREND	STL	26 Carson St, Robbinsville, NJ	4	3.1	$585,000	$585,000	03/08/2015	05/04/2015	Mercer County	Robbinsville Twp	Washington Twn Ctr	Robbinsville Twp	9	3,226	8	Y	Y	Y	$15,434	0.18	2014	537600	Y		08691-4193		116	Welcome to this impressive brick front Colonial, situated on a quiet street with a premium location.  Enter through gorgeous upgraded front door and step into a dramatic spacious foyer. Gracious entertaining spaces are offered in formal living & dining rooms. Front entry is decorated with architectural columns and throughout are moldings, wainscoting and recessed lights which showcase the elegance of this home.  Family room boasts beautiful natural light, cathedral ceilings and gas fireplace; creating a refined space for casual entertaining.  Enjoy hardwood floors throughout the entire first level and an open floor plan.  Gourmet kitchen is grand in scale with 42" cherry cabinetry, plenty of workspace, stainless steel appliances, desk area and expanded breakfast room. A butler's pantry upgrade provides ease of a fluid flow from kitchen to formal dining room. Double entry 1st floor master suite offers tray ceiling, walk-in closet, luxurious bath with dual Corian vanities, soaking tub and oversized shower.  Upstairs are 3 more bedrooms; one en-suite --which could very easily double as a second master bedroom and two other well proportioned bedrooms share a full hall bath. Oversized garage, dual zone HVAC, larger backyard and NW facing home with steps to park and shops.  Enjoy Washington Town Center, NO HOA fees, convenient commuting and top rated Robbinsville school district.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6485940	2-Story	Colonial	VinylExt, BrickExt	GasHeat, HotAirHeat, CentralAir, EnrgyEffcCooling, GasHotWater, PublicWater, PublicSewer, 200-300AmpEl	2-CarGarage, DetachedGar, GarDoorOpner, 3+CarParking, StreetParkng, DrivewayPrk	FullBasement	AccessPanel	Cathedral/Va, 9Ft+Ceiling, CeilngFan(s), Attic/HseFan, CableTVWired, StallShower, WaterConserv Apl, EnrgyEfficntWdws	Sidewalks, StreetLights, Fencing, ExteriorLght		14 x 11	15 x 11	22 x 12	16 x 15	15 x 14	15 x 13	17 x 13	13 x 11	N	Conv	N		211	05/19/2015	601126550	116				False		False	False	False				N				
6487557	TREND	STL	61 Beacon Pl, Robbinsville, NJ	3	2.1	$247,500	$235,000	02/09/2015	03/26/2015	Mercer County	Robbinsville Twp	Candlewood	Robbinsville Twp	23	1,616	7	Y	N	N	$6,997	0.04	2014	243700	Y	M	08691-3028		85	Candlewood 3 bedroom, 2.5 bath townhome. Features include: fireplace in family room; kitchen island with seating in kitchen; 6 month hot water heater; 2 year central air; 5 year energy efficient heating unit. Beautiful tree views in the back with newer fence. Conveniently located to shopping, restaurants, highways & rail. Top rated schools.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6487557	2-Story	OtherStyle	VinylExt, StoneExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, Asgn/DeedPrk, ParkingLot	NoBasement	AccessPanel	SecuritySys	Sidewalks, StreetLights		22 x 11	14 x 11	10 x 11	10 x 11	16 x 12	12 x 11	12 x 10		N	Cash	N		211	04/10/2015	601128218	85				False		False	False	False				N				
6487633	TREND	STL	207 Bromley Pl, Robbinsville, NJ	3	3.0	$369,900	$369,900	02/12/2015	04/03/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	19	1,777		N	Y	Y	$9,058	0.11	2014	315500	Y	M	08691-3000		25	Pictures & Bio Coming soon.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6487633	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	2-CarGarage, Att/BuiltInG, 2-CarParking	FullBasement		SecuritySys, Cathedral/Va, 9Ft+Ceiling, CeilngFan(s), CableTVWired	UndrgrndElec		17 x 13	11 x 14	13 x 10		19 x 13	19 x 13	16 x 13		N	Conv	N		211	04/03/2015	601128297	25				False		False	False	False				N		100		
6488859	TREND	STL	262 Andover Pl, Robbinsville, NJ	2	2.0	$225,999	$215,000	02/12/2015	03/16/2015	Mercer County	Robbinsville Twp	Andover Glen	Robbinsville Twp	27	1,060		Y	N	N	$5,041	0.00	2014	175600	Y	M	08691-3428		87	Move in condition 2BR, 2BA Andover Glen Condo with bonus loft. Newer Heat/AC units (2011) and newer stainless steel appliances! Open living room with a stone wood burning fireplace and vaulted ceiling. There is a formal Dining room with a sliding door to the balcony overlooking the courtyard. The Master bedroom has a California closet and a full bath. The expanded loft gives you more options. There is a Bonus home office area and floored attic storage. Within minutes of all major highways and the Hamilton train station.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6488859	2-Story	Colonial	VinylExt	GasHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, Asgn/DeedPrk, ParkingLot	NoBasement			Sidewalks, StreetLights, TennisCrt(s)		16 x 11		10 x 10		16 x 12	10 x 10			N	Conv	N		211	03/24/2015	601129562	87				False		False	False	False				N				
6489928	TREND	STL	97 Andover Pl, Robbinsville, NJ	2	2.0	$174,900	$176,000	01/22/2015	05/07/2015	Mercer County	Robbinsville Twp	Andover Glen	Robbinsville Twp	27	1,276		Y	N	N	$5,512	0.00	2014	192000	Y	M	08691-3411		56	2 bedroom 2 bath first floor condo available in Robbinsville. Offers eat-in kitchen with plenty of counter space and cabinetry and opens to dining room. Living room has fireplace with custom mantle. Master bedroom has walk-in closet and master bath has both tub and shower stall. Lots of sunlight, great location, beautiful wooded views. Nothing to do but drop your bags! Don't pass this one up.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6489928	1-Story	Contemporary	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, ParkingLot	NoBasement	NonUseAttic	CableTVWired, StallShower	Sidewalks, StreetLights, TennisCrt(s), ExteriorLght	1	18 x 13	12 x 10	13 x 10		16 x 12	10 x 10			N	Conv	N		211	05/12/2015	601130673	56				False		False	False	False				N			0 x 0	
6491237	TREND	STL	295 Andover Pl 1ST FL, Robbinsville, NJ	2	2.0	$189,000	$189,000	12/06/2014	01/29/2015	Mercer County	Robbinsville Twp	Andover Glen	Robbinsville Twp	27	1,080	5	Y	N	N	$4,975	0.00	2014	173300	Y	M	08691-3432	1ST FL	9	Completely Remodeled Andover Glenn 2 bed 2 full bath Condominium where every room has view of tree lined common area for your enjoyment and privacy. Spacious living room offers wood burning fireplace with custom designed cornered sitting area perfect for entertaining. Just move right in with this well appointed and designed remodeled kitchen with upgraded tile, full tile back splash, granite tops including breakfast nook and stainless steel appliances. Master suite offers well appointed remodeled bath with over-sized shower with upgraded designer tile and custom slanted sink. Also included are automatic curtains and walk-in closet. Beautifully remodeled second bath is just off the second bedroom and living area. Walk to parks, lakes, restaurants, stores, schools, train station bus terminal and much more!	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6491237	OtherDesign	Contemporary	OtherExt	GasHeat, CentralAir, ElectricHtWt, PublicWater, PublicSewer	NoGarage, ParkingLot	NoBasement				1	15 x 20	10 x 12	12 x 13		15 x 18	10 x 10			N	Conv	N		211	06/19/2015	601132018	9				False		False	False	False				N				
6491727	TREND	STL	7 Stratton Ct, Robbinsville, NJ	3	2.1	$255,000	$245,000	03/15/2015	05/11/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	28	1,341	6	N	N	N	$6,546	0.04	2014	228000	Y	M	08691-3108		106	Welcome to this bright and well maintained end unit in Foxmoor! This home has recently been painted, new floors have been installed in the kitchen and dining area and the hot water heater and furnace were replaced in late 2013. Open and flowing floor plan on the first floor with a large living room, a dining area that opens up to the kitchen and a powder room. Upstairs you will find two bedrooms and a full bath as well as a large master suite. Plenty of parking and a large patio in the back completes this beautiful townhouse in Robbinsville. Minutes away from I-95 and I-195 and Robbinsville schools.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6491727	2-Story	Traditional	VinylExt	GasHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, 2-CarParking, ParkingLot	NoBasement					18 x 17	12 x 10	11 x 10		18 x 16	12 x 10	12 x 10		Y	VA	N	Closing costs	211	05/12/2015	601132532	106				False	2000	False	False	False				N				
6493193	TREND	STL	11 Abby Ct, Robbinsville, NJ	3	2.1	$200,000	$175,000	12/16/2014	01/30/2015	Mercer County	Robbinsville Twp	Sharon Mews	Robbinsville Twp	27	1,677		N	N	Y	$6,971	0.05	2014	242800	Y	M	08691-1335		14	Ample sized townhouse in need of everything!  Needs kitchen, carpeting and bathrooms.  Some of the tile in the kitchen and bathrooms can be restored.  Property is being sold as-is.  Looking for a quick closing!  Please present all offers!	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6493193	2-Story	Colonial	VinylExt	GasHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	1-CarGarage, DrivewayPrk	NoBasement					1 x 1	1 x 1	1 x 1		1 x 1	1 x 1	1 x 1		N	Cash	N		211	01/30/2015	601134038	62		1		False		False	False	True				N				
6495440	TREND	STL	59 Emerald Rd, Robbinsville, NJ	5	4.1	$789,900	$784,900	01/24/2015	07/01/2015	Mercer County	Robbinsville Twp	Cubberly Meadows	Robbinsville Twp	0	3,637	10	Y	Y	Y	$4,800	0.46	2014	167200	Y		08691-3166		45	Magnificent New construction Turnberry model  in much sough after Cubberly Meadows; Beautiful 1/2 acre wooded lot.  Features a very large itchen with huge pantry, 3 car garage, 5 bedrooms (one is on first floor- guest room) and 4 1/2 baths	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6495440	2-Story	Colonial	VinylExt, BrickExt	GasHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	3-CarGarage, 3+CarParking	FullBasement					13 x 16	13 x 15	23 x 12	18 x 17	13 x 22	12 x 12	13 x 12	13 x 12	N	Conv	Y		211	07/02/2015	601136341	45				False		False	False	False				N			18 x 17	
6496522	TREND	STL	25 Ivanhoe Dr, Robbinsville, NJ	4	2.1	$367,000	$348,500	12/28/2014	02/10/2015	Mercer County	Robbinsville Twp	None Available	Robbinsville Twp	53	1	8	N	Y	N	$9,681	0.69	2014	337200	Y		08691-3604		14	This beautiful home offers an open floor plan set on a large lot in a quiet Robbinsville neighborhood with wide streets and mature trees.  The home has undergone a complete, high quality renovation.  It proudly offers newly finished hardwood floors (nutmeg finish, 3 coats of oil based polyurethane) throughout, a brand new chef's dream kitchen (custom, crown molded, soft-close cabinets, granite countertops including a huge dine in island, high end stainless LG appliances), all new bathrooms (subway tile, chrome fixtures, brand new vanities and toilets),  new Central Air and Heat (HVAC) system , new roof (30 yr. architectural shingles), new windows (Anderson, triple seal installed), new craftsman style entry and 6 panel interior doors, new tiled mudroom with deep sink and new cabinets, new lighting (energy saving LEDs, dimmers),  new double car driveway, slate walkways & beautiful landscaping.  A lovingly selected palate of warm, neutral colors compliments this naturally bright, east-facing home.  All work was permitted and inspected by Robbinsville Township with a project binder available onsite for buyer to review and keep.  Pride of workmanship shines through!  The location, floor plan, finishes and price of this home make it an extraordinary value in Robbinsville Township.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6496522	1-Story	Ranch	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer, 200-300AmpEl, CircBreakers	NoGarage, 3+CarParking, DrivewayPrk, Private	FullBasement	WalkUpAttic	CeilngFan(s), CableTVWired, EnrgyEfficntWdws	ExteriorLght		16 x 16	12 x 10	12 x 12		14 x 14	13 x 12	12 x 10	12 x 11	N	Conv	N		211	02/25/2015	601137458	14				False		False	False	False				N				
6498419	TREND	STL	2350 Route 33 303, Robbinsville, NJ	2	2.1	$279,900	$278,000	03/31/2015	05/15/2015	Mercer County	Robbinsville Twp	Robbinsville Edinbur	Robbinsville Twp	5		6	N	N	N	$11,831	0.00	2014	412100	Y	M	08691	303	100	Located in the desirable "Lofts at Washington Town Center" Beautiful gleaming floors. Soaring High ceilings in the Living Room, gorgeous kitchen cabinets with granite counter tops. Upstairs is a large loft space, can be used as famiy room. the 2nd Bedroom with its own bath and large soaking tub. Space in the basement for storage . The inside is like new. Upper floor unit with plenty of light.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6498419	2-Story	OtherStyle	BrickExt	GasHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, ParkingLot	NoBasement				3	1 x 1		1 x 1		1 x 1	1 x 1			N	Conv	N		211	05/16/2015	601139434	42		1		False		False	False	True				N				
6498635	TREND	STL	214 Bromley Pl, Robbinsville, NJ	3	3.1	$359,999	$355,000	12/29/2014	01/30/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	20	1,870		N	Y	Y	$9,351	0.11	2014	325700	Y	M	08691-3023		8	Enjoy this beautiful 3 bedroom/3.5 bath Dansforth model end unit. This spacious townhouse is located in a special location at the end of a cul-de-sac backing the woods. The living room, dining room and family room feature beautiful hardwood floors. The sunny eat-in kitchen has been updated with a granite counter top and has a pantry for extra storage. The light filled family room has a vaulted ceiling, two skylights and slider to a deck overlooking the backyard. The living room with recessed lighting opens to the formal dining room. A powder room and laundry room complete the first floor. The spacious master bedroom offers plenty of storage with a walk-in closet and double closet, plus a bath with a double sink vanity, soaking tub and separate shower. There are two additional bedrooms and a hall bath on the second floor plus a large upper hall. The finished walkout basement has sliders to a beautiful paver patio and back garden area. The additional full bath in the basement makes this a perfect area for entertaining. There is a large 2 car garage attached garage. This home boasts new, neutral carpeting and fresh paint. Walk to pool, tennis and clubhouse. Conveniently located to shopping, train stations, and minutes to NJ Turnpike, I-95 and Route 130. Great Robbinsville schools.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6498635	2-Story	EndUnit/Row	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	2-CarGarage, Att/BuiltInG, DrivewayPrk	FullBasement		Skylight(s), Cathedral/Va, CeilngFan(s), CableTVWired, StallShower	Sidewalks, StreetLights, Fencing		14 x 14	10 x 13	11 x 13	11 x 14	14 x 12	11 x 10	14 x 13		N	Cash	N		211	01/31/2015	601139661	8				False		False	False	False				N			11 x 5	
6501479	TREND	STL	6 Stanwyck Ct, Robbinsville, NJ	2	1.1	$259,900	$241,000	02/19/2015	04/17/2015	Mercer County	Robbinsville Twp	Foxmoor	Robbinsville Twp	22	1,372		N	Y	N	$7,697	0.04	2014	268100	Y	M	08691-3016		48	Excellent 2 Bedroom and 1.5 Bathroom Town Home in Foxmoor w/ Partially Finished Basement and Expansive Paver Patio in the backyard!Beautiful newer Hardwood flooring throughout living room and dining room.Have peace of mind with the Home Warranty that's included.Powder room on the left between living room and kitchen has Tile flooring and a Pedestal Sink.Wainscoting and Chair Rail adorn the eating area in the kitchen accompanied by a Tile Covered Island/Table for Dining,Food Prep and Storage.The Gourmet Kitchen offers Tile Flooring, Natural Stone Back Splash, under cabinet lighting that shines onto the Quartz Counter-top,Delta faucet,Kenmore Dishwasher,gas stove,microwave and refrigerator.Newer Pella Sliding door w/ blinds between the glass leads onto the Paver Patio bordered by delightful landscaping with a gas grill in the backyard.The backyard is ideal for relaxing and entertaining.The basement is partially finished with a drop ceiling,recessed lighting,and carpeting.Pass through the door into the unfinished area offering a work bench,freezer,laundry and storage. Newer windows throughout.Master Bedroom has a vaulted ceiling and walk in closet. Newer carpeting throughout second floor except for the bathroom.Second bedroom equal in size to the master also has walk in closet with an access panel to the attic.Jack and Jill bathroom w/ tile flooring,two sinks/vanities,shower/tub and linen closet.Enjoy the Pools,Tennis Courts,and Tot Lots.Great schools, and only minutes to Restaurants, Shoppes,and Major Routes,Highways, and Train Stations.	http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6501479	2-Story	Colonial	VinylExt	GasHeat, HotAirHeat, CentralAir, GasHotWater, PublicWater, PublicSewer	NoGarage, ParkingLot	FullBasement	AccessPanel		Sidewalks, StreetLights, TennisCrt(s)		11 x 11	11 x 11	11 x 8		14 x 15	14 x 15			N	Conv	N		211	05/02/2015	601142527	48				False		False	False	False				N				
